Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
440	-587.5213	-560.9284	-26.59289	108885.3	4.463786	0.259732	0.0125298	0.0430681	0.0129265	0.489738	0.0263001	0.0161416	0.0422007	0.23697	1.52677	0.149301	0.0233706	0.028385	0.0167558	0.315525	0.710053	0.227511	0.0482786	0.33292	0.183217	0.026866	0.191599	0.0979662	0.0211252	0.133078	0.171278	0.0749705	0.996151	0.999013	1.00098	1.00385	5.418575
450	-591.0848	-562.158	-28.92671	77327.19	3.738514	0.250696	0.00782584	0.127221	0.0248176	0.195029	0.00429994	0.0190919	0.0623485	0.394993	1.36436	0.154235	0.0461097	0.0123118	0.0150326	0.525075	0.803372	0.0481015	0.0833153	0.607725	0.136799	0.0403558	0.260995	0.0623376	0.0933633	0.245956	0.130126	0.136408	0.995433	0.998829	1.00116	1.00457	5.852297
460	-587.1605	-558.0996	-29.06089	829605.2	3.394958	0.248063	0.0120637	0.134034	0.00811493	0.177333	0.00397682	0.0107513	0.0354545	0.576293	1.37336	0.159896	0.0405935	0.0138036	0.0453648	0.273554	0.946044	0.0484205	0.213026	0.417811	0.137909	0.0720997	0.162745	0.0365354	0.177659	0.251452	0.0594446	0.101841	0.998605	0.999643	1.00036	1.0014	5.737647
470	-584.8092	-561.8301	-22.97915	620603.7	4.936032	0.187163	0.00778284	0.120439	0.00457424	0.126444	0.0253888	0.0096343	0.0378655	0.455389	1.46932	0.2123	0.0402011	0.0132899	0.057238	0.294246	0.453843	0.0437811	0.16388	0.254631	0.108136	0.181384	0.0925868	0.0254703	0.0845604	0.125221	0.0118828	0.0923421	0.998387	0.999587	1.00041	1.00161	4.698999
480	-588.7007	-560.4726	-28.22803	159833.4	3.793076	0.236739	0.0224239	0.210259	0.0302316	0.176911	0.0185216	0.00795238	0.0318837	0.573862	1.75036	0.309338	0.0413105	0.0108186	0.0198284	0.271604	0.394154	0.149164	0.107459	0.575707	0.125985	0.193639	0.0786592	0.0387815	0.105508	0.0932334	0.0139726	0.0958734	0.996822	0.999186	1.00081	1.00318	5.684175
490	-589.5148	-564.3892	-25.12552	233827	5.36931	0.799219	0.009317	0.186147	0.0535706	0.253181	0.0364147	0.0097328	0.0167014	0.381904	1.07932	0.22457	0.0592837	0.01873	0.0211529	0.337709	0.615904	0.0470653	0.108701	0.417181	0.0930034	0.0690578	0.0324197	0.0454699	0.0321905	0.101999	0.0186107	0.0579586	0.997373	0.999327	1.00067	1.00263	5.126514
500	-581.879	-559.7218	-22.1572	880943.9	5.429204	0.333518	0.0174831	0.153812	0.0300721	0.261422	0.0449676	0.0135784	0.0217691	0.529638	1.14969	0.323995	0.0433656	0.0133643	0.0231991	0.359715	0.376461	0.0955194	0.088178	0.169806	0.136616	0.0616962	0.0254811	0.0787299	0.0282365	0.0882638	0.0521803	0.0554314	0.998646	0.999654	1.00035	1.00135	4.576189
510	-585.1865	-560.2749	-24.91157	600054.7	4.83234	0.233319	0.0572378	0.240498	0.0516017	0.187823	0.0503046	0.0187614	0.0156197	0.525598	1.37021	0.113901	0.0439587	0.0208104	0.00224336	0.528011	0.592688	0.145345	0.11846	0.336685	0.0733189	0.11958	0.0165591	0.0351141	0.0653429	0.01976	0.064831	0.0378056	0.99836	0.99958	1.00042	1.00164	5.08539
520	-591.0462	-567.6339	-23.41223	534852.5	4.906822	0.432096	0.0351859	0.0232677	0.162514	0.162006	0.141158	0.0788595	0.0221384	0.289275	1.56954	0.0371014	0.0180984	0.0609318	0.000449841	0.318413	0.473237	0.115865	0.116276	0.199881	0.0499691	0.173717	0.0162113	0.0217537	0.078122	0.0137831	0.144349	0.0295671	0.998262	0.999556	1.00044	1.00174	4.783764
530	-597.4602	-571.4825	-25.97778	874560.6	4.532195	0.598018	0.036793	0.0480567	0.113703	0.233629	0.129487	0.051753	0.0600065	0.541938	1.05395	0.137259	0.146063	0.0395081	0.00143008	0.439091	0.545785	0.112656	0.035153	0.296737	0.145064	0.117648	0.0214396	0.03537	0.0559734	0.0111	0.254642	0.026401	0.998641	0.999653	1.00035	1.00136	5.288654
